nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
ADRIANA MIGUEL VENTURA,F,92,0,0,75,0,0,06/03/1969,"32.744,36",0%,"33.763,00","91,69","11.201,41","6,17","2.012,14","12.078,93","3.326,52","2.525,67","464,61","481,48","555,74",-,-,"46.239,34","47.876,22","45.155,54","50.501,69","47.484,47","47.810,20","53.606,39","43.951,57","36.862,01","38.831,64","0,00",-
BENEDITA SOUZA DA SILVA SAMPAIO,F,45,47,0,22,18,15,26/04/1942,"278.916,75",0.9074907055520087%,"33.763,00","27.548,63","36.708,62","32.332,80","42.904,22","38.159,47","28.769,87","17.965,43","15.365,95","9.555,15","28.558,54",-,-,"111.495,90","111.448,24","111.228,98","111.228,98","111.228,98","111.354,55","111.647,54","111.647,54","111.647,54","111.647,54","1.048,07",-
ALINE SLEUTJES,F,81,11,0,25,7,5,26/07/1979,"266.844,87",0.3716235891090571%,"33.763,00","18.718,10","42.340,70","44.589,79","62.024,69","28.504,61","25.909,67","20.829,47","10.742,51","4.466,72","8.102,19",-,-,"108.562,89","107.823,39","108.054,31","104.407,00","102.862,93","105.903,30","107.141,12","104.241,48","105.514,93","93.070,21","616,42",-
ALESSANDRA SILVA RIBEIRO,F,82,6,4,54,10,10,04/07/1974,"256.412,00",0%,"33.763,00","21.847,22","26.068,76","54.557,47","39.369,73","38.257,92","21.249,25","15.093,79","19.228,94","15.225,62","5.513,30",-,-,"73.391,76","71.163,83","70.424,23","75.507,41","71.271,43","78.795,10","74.373,30","79.377,41","79.377,41","83.691,96","0,00",-
ALINE PARANHOS VARONIL GURGEL,F,78,11,3,16,7,27,25/11/1980,"425.828,00",0%,"33.763,00","42.916,79","55.902,66","41.953,93","74.755,05","40.253,23","10.460,16","40.552,36","44.238,07","50.064,19","24.731,56",-,-,"111.429,18","111.160,99","111.429,20","111.429,20","111.429,20","111.429,20","111.429,20","111.429,20","109.688,29","108.621,49","0,00",-
ÁUREA CAROLINA DE FREITAS E SILVA,F,75,17,0,22,5,5,20/11/1983,"297.751,16",0%,"33.763,00","15.477,79","17.211,99","32.300,99","47.628,80","50.919,99","36.660,42","25.545,07","22.852,05","27.143,68","22.010,38",-,-,"110.482,87","110.320,03","111.502,08","111.502,08","111.502,08","111.499,25","111.417,08","111.417,08","111.417,08","105.478,47","0,00",-
ANGELA REGINA HEINZEN AMIN HELOU,F,88,4,0,61,1,0,20/12/1953,"335.539,85",0.11723267991294993%,"33.763,00","32.420,59","44.149,40","54.673,99","45.917,82","50.177,80","36.925,47","34.965,84","19.369,26","7.069,38","9.738,31",-,-,"108.469,01","109.010,60","110.962,23","109.111,95","109.111,95","108.914,61","107.061,71","107.061,71","107.061,71","110.877,26","131,99",-
ALICE MAZZUCO PORTUGAL,F,91,0,1,70,0,28,16/05/1959,"380.746,29",0.0844555254016234%,"33.763,00","64.843,86","35.974,10","45.630,28","44.643,22","30.967,04","33.926,95","26.133,78","37.427,88","27.482,05","33.668,90",-,-,"109.364,13","110.762,68","110.837,35","110.137,04","110.137,04","110.137,04","110.137,04","110.131,96","111.046,92","111.046,92","48,23",-
BEATRIZ KICIS TORRENTS DE SORDI,F,89,3,0,56,3,4,19/09/1961,"217.096,60",0.9198415542674443%,"33.763,00","25.190,49","25.724,28","26.105,29","29.874,33","27.799,70","15.473,15","16.116,39","14.243,78","13.146,49","22.163,74",-,-,"111.271,47","111.271,47","111.271,47","111.271,47","111.271,47","111.538,39","111.538,39","111.538,39","111.538,39","111.538,39","1.258,96",-
BRUNA DIAS FURLAN VICENTE,F,39,0,4,0,0,0,28/04/1983,"77.114,78",0.7806524503422212%,"33.763,00","12.812,15","15.234,17","17.325,26",-,"17.939,40",-,-,"283,61","5.769,80","6.302,20",-,-,"102.008,81","103.337,22","104.665,63","89.553,78","85.126,66","105.191,41","111.416,96","104.020,17","87.826,95","93.579,66","1.448,19",-
CARLA ZAMBELLI SALGADO DE OLIVEIRA,F,79,12,1,10,5,12,03/07/1980,"275.642,88",0.7371753897902744%,"33.763,00","35.310,53","32.694,44","28.196,83","51.011,16","21.729,23","22.816,95","21.987,75","14.571,57","14.918,40","31.400,35",-,-,"111.549,61","111.299,27","110.215,67","108.206,27","105.302,52","105.657,79","108.726,99","111.400,84","111.665,78","111.665,78","1.005,67",-
