nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,81,5,6,6,4,39,28/02/1984,"284.724,73",0.4458502033862036%,"33.763,00","32.904,38","35.321,53","46.599,60","22.991,65","42.640,35","38.141,86","34.943,44","7.902,03","1.571,47","20.930,42",-,-,"106.461,21","106.461,21","106.461,21","107.548,75","106.461,21","111.277,47","111.277,47","110.295,40","110.786,15","110.786,15","778,00",-
FREDERICO BORGES DA COSTA,M,83,9,0,14,1,5,12/07/1977,"284.352,33",1.936432047973074%,"33.763,00","14.730,30","29.479,43","41.701,41","44.266,74","55.095,45","24.177,23","21.336,08","23.057,48","15.301,98","12.687,52",-,-,"110.167,89","108.567,01","109.305,97","109.563,08","109.305,97","108.452,71","101.554,25","109.006,01","107.977,56","103.926,38","2.518,71",-
FLÁVIO RODRIGUES NOGUEIRA,M,91,1,0,39,0,4,27/02/1953,"395.772,41",0%,"33.763,00","38.329,27","41.835,51","39.604,13","42.494,03","37.048,37","47.068,00","42.082,62","36.727,61","36.484,39","34.098,48",-,-,"110.937,69","110.937,69","111.074,66","111.467,18","110.962,76","111.544,27","111.544,27","111.544,27","111.544,27","105.327,63","0,00",-
FERNANDO MONTEIRO DE ALBUQUERQUE,M,87,5,0,17,4,3,17/09/1976,"320.877,65",0.47029399339469247%,"33.763,00","33.166,59","36.756,35","50.815,63","35.207,06","46.090,78","35.106,58","33.522,18","12.348,74","7.355,49","29.824,28",-,-,"111.665,62","111.462,42","111.451,57","111.665,62","108.833,71","111.665,62","111.665,62","110.146,43","102.361,66","104.196,43","683,97",-
FLAVIANO FLÁVIO BAPTISTA DE MELO,M,82,10,0,3,0,1,17/11/1949,"438.870,21",27.744311202389895%,"33.763,00","34.282,68","37.155,36","51.227,13","79.405,70","29.713,90","25.480,53","38.048,40","39.592,10","54.822,12","29.142,29",-,-,"107.904,83","107.983,89","111.367,03","111.659,62","111.659,62","111.659,62","111.659,62","110.227,30","110.179,56","110.179,56","20.000,00",-
ANTONIO RIBEIRO,M,86,6,0,30,4,14,03/03/1944,"361.343,24",0.9385616579611715%,"33.763,00","40.812,78","41.699,11","53.527,13","53.135,08","42.212,73","32.573,14","21.560,81","17.788,85","19.494,29","37.582,25",-,-,"110.889,19","110.889,19","110.889,19","109.560,78","110.313,55","110.047,86","110.889,19","110.889,19","110.889,19","110.889,19","957,07",-
FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,82,10,0,13,3,10,29/05/1991,"282.154,57",0.4845520702730853%,"33.763,00","39.534,77","31.282,38","49.744,00","50.641,59","46.765,21","43.365,67","18.271,75","239,65","40,19","1.509,17",-,-,"97.669,43","98.842,46","98.853,61","105.314,69","101.434,99","105.934,61","105.601,33","88.221,20","71.613,40","65.419,80","760,19",-
FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,83,4,5,17,3,51,17/11/1983,"301.147,26",0%,"33.763,00","34.398,75","35.640,31","46.954,27","42.253,99","61.790,50","30.175,92","26.376,10","10.140,69","7.883,19","5.533,54",-,-,"110.824,90","108.472,48","109.833,05","110.607,73","104.726,42","107.797,77","106.334,87","77.927,20","90.812,99","88.404,25","0,00",-
FRANCISCO RODRIGUES VALE JUNIOR,M,87,3,2,25,2,6,15/03/1969,"309.142,86",18.68136888385411%,"33.763,00","17.093,58","30.616,27","50.032,21","38.718,63","33.547,10","30.008,06","31.405,20","20.504,95","10.000,71","26.688,21",-,-,"110.440,58","110.440,58","110.440,58","108.630,41","110.440,58","108.370,30","101.304,39","105.472,56","105.472,56","105.472,56","20.527,94",-
FRANCO CARTAFINA GOMES,M,86,3,3,44,4,15,03/11/1986,"318.135,20",0.2115321049493731%,"33.763,00","28.065,10","33.009,58","43.304,17","52.088,32","45.119,68","34.699,31","22.247,15","51.692,11","5.409,62","2.332,94",-,-,"110.962,06","110.962,06","110.962,06","111.166,17","110.962,06","111.568,67","111.568,67","111.568,67","111.568,67","111.568,67","167,22",-
